phrase,audio,threshold,averaged_threshold,min_scores,filters,detected,hit_time_s,score,avg_score,run_ms
alexa,hey_google,0.6,0.2,10,gain_bandpass,false,,,,168
alexa,hey_siri,0.35,0.15,4,none,false,,,,159
alexa,hey_siri,0.35,0.15,4,gain,false,,,,173
alexa,hey_siri,0.35,0.15,4,bandpass,false,,,,144
alexa,hey_siri,0.35,0.15,4,gain_bandpass,false,,,,180
alexa,hey_siri,0.35,0.15,6,none,false,,,,136
alexa,hey_siri,0.35,0.15,6,gain,false,,,,147
alexa,hey_siri,0.35,0.15,6,bandpass,false,,,,171
alexa,hey_siri,0.35,0.15,6,gain_bandpass,false,,,,203
alexa,hey_siri,0.35,0.15,10,none,false,,,,193
alexa,hey_siri,0.35,0.15,10,gain,false,,,,141
alexa,hey_siri,0.35,0.15,10,bandpass,false,,,,151
alexa,hey_siri,0.35,0.15,10,gain_bandpass,false,,,,158
alexa,hey_siri,0.35,0.2,4,none,false,,,,175
alexa,hey_siri,0.35,0.2,4,gain,false,,,,157
alexa,hey_siri,0.35,0.2,4,bandpass,false,,,,135
alexa,hey_siri,0.35,0.2,4,gain_bandpass,false,,,,164
alexa,hey_siri,0.35,0.2,6,none,false,,,,144
alexa,hey_siri,0.35,0.2,6,gain,false,,,,131
alexa,hey_siri,0.35,0.2,6,bandpass,false,,,,147
alexa,hey_siri,0.35,0.2,6,gain_bandpass,false,,,,164
alexa,hey_siri,0.35,0.2,10,none,false,,,,140
alexa,hey_siri,0.35,0.2,10,gain,false,,,,132
alexa,hey_siri,0.35,0.2,10,bandpass,false,,,,144
alexa,hey_siri,0.35,0.2,10,gain_bandpass,false,,,,157
alexa,hey_siri,0.45,0.15,4,none,false,,,,164
alexa,hey_siri,0.45,0.15,4,gain,false,,,,149
alexa,hey_siri,0.45,0.15,4,bandpass,false,,,,144
alexa,hey_siri,0.45,0.15,4,gain_bandpass,false,,,,153
alexa,hey_siri,0.45,0.15,6,none,false,,,,157
alexa,hey_siri,0.45,0.15,6,gain,false,,,,139
alexa,hey_siri,0.45,0.15,6,bandpass,false,,,,147
alexa,hey_siri,0.45,0.15,6,gain_bandpass,false,,,,154
alexa,hey_siri,0.45,0.15,10,none,false,,,,134
alexa,hey_siri,0.45,0.15,10,gain,false,,,,140
alexa,hey_siri,0.45,0.15,10,bandpass,false,,,,140
alexa,hey_siri,0.45,0.15,10,gain_bandpass,false,,,,146
alexa,hey_siri,0.45,0.2,4,none,false,,,,152
alexa,hey_siri,0.45,0.2,4,gain,false,,,,154
alexa,hey_siri,0.45,0.2,4,bandpass,false,,,,144
alexa,hey_siri,0.45,0.2,4,gain_bandpass,false,,,,151
alexa,hey_siri,0.45,0.2,6,none,false,,,,130
alexa,hey_siri,0.45,0.2,6,gain,false,,,,146
alexa,hey_siri,0.45,0.2,6,bandpass,false,,,,141
alexa,hey_siri,0.45,0.2,6,gain_bandpass,false,,,,144
alexa,hey_siri,0.45,0.2,10,none,false,,,,138
alexa,hey_siri,0.45,0.2,10,gain,false,,,,133
alexa,hey_siri,0.45,0.2,10,bandpass,false,,,,141
alexa,hey_siri,0.45,0.2,10,gain_bandpass,false,,,,141
alexa,hey_siri,0.5,0.15,4,none,false,,,,130
alexa,hey_siri,0.5,0.15,4,gain,false,,,,128
alexa,hey_siri,0.5,0.15,4,bandpass,false,,,,124
alexa,hey_siri,0.5,0.15,4,gain_bandpass,false,,,,172
alexa,hey_siri,0.5,0.15,6,none,false,,,,151
alexa,hey_siri,0.5,0.15,6,gain,false,,,,141
alexa,hey_siri,0.5,0.15,6,bandpass,false,,,,145
alexa,hey_siri,0.5,0.15,6,gain_bandpass,false,,,,172
alexa,hey_siri,0.5,0.15,10,none,false,,,,146
alexa,hey_siri,0.5,0.15,10,gain,false,,,,139
alexa,hey_siri,0.5,0.15,10,bandpass,false,,,,132
alexa,hey_siri,0.5,0.15,10,gain_bandpass,false,,,,159
alexa,hey_siri,0.5,0.2,4,none,false,,,,126
alexa,hey_siri,0.5,0.2,4,gain,false,,,,138
alexa,hey_siri,0.5,0.2,4,bandpass,false,,,,174
alexa,hey_siri,0.5,0.2,4,gain_bandpass,false,,,,151
alexa,hey_siri,0.5,0.2,6,none,false,,,,152
alexa,hey_siri,0.5,0.2,6,gain,false,,,,136
alexa,hey_siri,0.5,0.2,6,bandpass,false,,,,133
alexa,hey_siri,0.5,0.2,6,gain_bandpass,false,,,,145
alexa,hey_siri,0.5,0.2,10,none,false,,,,131
alexa,hey_siri,0.5,0.2,10,gain,false,,,,130
alexa,hey_siri,0.5,0.2,10,bandpass,false,,,,135
alexa,hey_siri,0.5,0.2,10,gain_bandpass,false,,,,138
alexa,hey_siri,0.6,0.15,4,none,false,,,,137
alexa,hey_siri,0.6,0.15,4,gain,false,,,,147
alexa,hey_siri,0.6,0.15,4,bandpass,false,,,,128
alexa,hey_siri,0.6,0.15,4,gain_bandpass,false,,,,142
alexa,hey_siri,0.6,0.15,6,none,false,,,,133
alexa,hey_siri,0.6,0.15,6,gain,false,,,,129
alexa,hey_siri,0.6,0.15,6,bandpass,false,,,,128
alexa,hey_siri,0.6,0.15,6,gain_bandpass,false,,,,144
alexa,hey_siri,0.6,0.15,10,none,false,,,,138
alexa,hey_siri,0.6,0.15,10,gain,false,,,,146
alexa,hey_siri,0.6,0.15,10,bandpass,false,,,,146
alexa,hey_siri,0.6,0.15,10,gain_bandpass,false,,,,146
alexa,hey_siri,0.6,0.2,4,none,false,,,,142
alexa,hey_siri,0.6,0.2,4,gain,false,,,,132
alexa,hey_siri,0.6,0.2,4,bandpass,false,,,,134
alexa,hey_siri,0.6,0.2,4,gain_bandpass,false,,,,148
alexa,hey_siri,0.6,0.2,6,none,false,,,,132
alexa,hey_siri,0.6,0.2,6,gain,false,,,,155
alexa,hey_siri,0.6,0.2,6,bandpass,false,,,,134
alexa,hey_siri,0.6,0.2,6,gain_bandpass,false,,,,139
alexa,hey_siri,0.6,0.2,10,none,false,,,,146
alexa,hey_siri,0.6,0.2,10,gain,false,,,,136
alexa,hey_siri,0.6,0.2,10,bandpass,false,,,,125
alexa,hey_siri,0.6,0.2,10,gain_bandpass,false,,,,142
alexa,hey_winstt,0.35,0.15,4,none,true,2,0.53539,0.44350725,74
alexa,hey_winstt,0.35,0.15,4,gain,true,2,0.53539,0.44350725,79
alexa,hey_winstt,0.35,0.15,4,bandpass,false,,,,140
alexa,hey_winstt,0.35,0.15,4,gain_bandpass,false,,,,152
alexa,hey_winstt,0.35,0.15,6,none,true,2,0.53539,0.44350725,74
alexa,hey_winstt,0.35,0.15,6,gain,true,2,0.53539,0.44350725,74
alexa,hey_winstt,0.35,0.15,6,bandpass,false,,,,151
alexa,hey_winstt,0.35,0.15,6,gain_bandpass,false,,,,153
alexa,hey_winstt,0.35,0.15,10,none,true,2,0.53539,0.44350725,77
alexa,hey_winstt,0.35,0.15,10,gain,true,2,0.53539,0.44350725,83
alexa,hey_winstt,0.35,0.15,10,bandpass,false,,,,137
alexa,hey_winstt,0.35,0.15,10,gain_bandpass,false,,,,144
alexa,hey_winstt,0.35,0.2,4,none,true,2,0.53539,0.44350725,117
alexa,hey_winstt,0.35,0.2,4,gain,true,2,0.53539,0.44350725,77
alexa,hey_winstt,0.35,0.2,4,bandpass,false,,,,149
alexa,hey_winstt,0.35,0.2,4,gain_bandpass,false,,,,138
alexa,hey_winstt,0.35,0.2,6,none,true,2,0.53539,0.44350725,84
alexa,hey_winstt,0.35,0.2,6,gain,true,2,0.53539,0.44350725,83
alexa,hey_winstt,0.35,0.2,6,bandpass,false,,,,139
alexa,hey_winstt,0.35,0.2,6,gain_bandpass,false,,,,156
alexa,hey_winstt,0.35,0.2,10,none,true,2,0.53539,0.44350725,84
alexa,hey_winstt,0.35,0.2,10,gain,true,2,0.53539,0.44350725,72
alexa,hey_winstt,0.35,0.2,10,bandpass,false,,,,149
alexa,hey_winstt,0.35,0.2,10,gain_bandpass,false,,,,150
alexa,hey_winstt,0.45,0.15,4,none,true,2,0.53539,0.44350725,84
alexa,hey_winstt,0.45,0.15,4,gain,true,2,0.53539,0.44350725,76
alexa,hey_winstt,0.45,0.15,4,bandpass,false,,,,134
alexa,hey_winstt,0.45,0.15,4,gain_bandpass,false,,,,160
alexa,hey_winstt,0.45,0.15,6,none,true,2,0.53539,0.44350725,77
alexa,hey_winstt,0.45,0.15,6,gain,true,2,0.53539,0.44350725,80
alexa,hey_winstt,0.45,0.15,6,bandpass,false,,,,146
alexa,hey_winstt,0.45,0.15,6,gain_bandpass,false,,,,147
alexa,hey_winstt,0.45,0.15,10,none,true,2,0.53539,0.44350725,74
alexa,hey_winstt,0.45,0.15,10,gain,true,2,0.53539,0.44350725,84
alexa,hey_winstt,0.45,0.15,10,bandpass,false,,,,143
alexa,hey_winstt,0.45,0.15,10,gain_bandpass,false,,,,155
alexa,hey_winstt,0.45,0.2,4,none,true,2,0.53539,0.44350725,77
alexa,hey_winstt,0.45,0.2,4,gain,true,2,0.53539,0.44350725,82
alexa,hey_winstt,0.45,0.2,4,bandpass,false,,,,142
alexa,hey_winstt,0.45,0.2,4,gain_bandpass,false,,,,161
alexa,hey_winstt,0.45,0.2,6,none,true,2,0.53539,0.44350725,85
alexa,hey_winstt,0.45,0.2,6,gain,true,2,0.53539,0.44350725,77
alexa,hey_winstt,0.45,0.2,6,bandpass,false,,,,152
alexa,hey_winstt,0.45,0.2,6,gain_bandpass,false,,,,147
alexa,hey_winstt,0.45,0.2,10,none,true,2,0.53539,0.44350725,76
alexa,hey_winstt,0.45,0.2,10,gain,true,2,0.53539,0.44350725,85
